Wijken;Low;Mid;High;;
West; 18.90 ; 51.00 ;30.1;;
Noordwest; 23.90 ; 54.20 ;21.9;;
Overvecht; 37.50 ; 53.20 ;9.3;;
Noordoost; 14.60 ; 49.70 ;35.7;;
Oost; 20.80 ; 48.30 ;30.9;;
Binnenstad; 17.70 ; 53.20 ;29.1;;
Zuid; 22.60 ; 56.30 ;21.1;;
Zuidwest; 25.80 ; 53.90 ;20.3;;
Leidsche Rijn; 13.60 ; 50.30 ;36.1;;
Vleuten-De Meern; 10.50 ; 53.80 ;35.7;;
